3.022006, 0.110418
3.042209, 0.170978
3.053375, 0.209043
3.059084, 0.232406
3.061596, 0.245434
3.062665, 0.251068
3.062609, 0.250699
3.059530, 0.243408
3.048873, 0.224862
3.025289, 0.187965
2.994697, 0.126920
2.991180, 0.031839
3.020496, -0.075648
3.048113, -0.161095
3.057283, -0.205751
3.057157, -0.230158
3.056630, -0.243187
3.060397, -0.249099
3.066557, -0.250027
3.070382, -0.247252
3.072746, -0.241285
3.073148, -0.232121
3.069780, -0.219534
3.058497, -0.200557
3.041997, -0.175528
3.022887, -0.145211
3.008718, -0.111070
3.003212, -0.076441
3.002929, -0.045729
3.003583, -0.023884
3.003674, -0.012909
3.003573, -0.008444
3.003547, -0.006336
3.003500, -0.004938
3.003486, -0.004336
3.003360, -0.002131
3.003582, -0.001488
3.003348, -0.001463
3.003393, -0.000832
3.003377, -0.000203
3.003356, 0.000442
3.003330, 0.001085
3.003287, 0.001728
3.003275, 0.002385
3.003245, 0.003066
3.003243, 0.003781
3.003308, 0.004545
3.002874, 0.005345
2.997723, 0.006120
0.000013, 0.000964
